@relation gamesAdvancedStats-StdDevs

@attribute DoW {bla}
@attribute month {Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun}
@attribute day numeric
@attribute dayOfSeason numeric
@attribute locationForFirst {H,A}
@attribute outcomeForFirst {L,W}
@attribute pointDifferenceForFirst numeric
@attribute Pace numeric
@attribute name1 {'Golden State Warriors','Houston Rockets','Portland Trail Blazers','Memphis Grizzlies','Cleveland Cavaliers','Denver Nuggets','Indiana Pacers','Chicago Bulls','New Orleans Hornets','Milwaukee Bucks','Philadelphia 76ers','Detroit Pistons','Phoenix Suns','Atlanta Hawks','Boston Celtics','Charlotte Bobcats','New Jersey Nets','Los Angeles Lakers','Sacramento Kings','Dallas Mavericks','Orlando Magic','Los Angeles Clippers','Minnesota Timberwolves','Miami Heat','Seattle SuperSonics','New York Knicks','Toronto Raptors','San Antonio Spurs','Utah Jazz','Washington Wizards'}
@attribute winPercentage1 numeric
@attribute MOV1 numeric
@attribute MOVStdDev1 numeric
@attribute adjMov1 numeric
@attribute adjMovStdDev1 numeric
@attribute paceAdjustedScoring1 numeric
@attribute paceAdjustedScoringStdDev1 numeric
@attribute adjOEff1 numeric
@attribute adjOEffStdDev1 numeric
@attribute adjDEff1 numeric
@attribute adjDEffStdDev1 numeric
@attribute adjOeFG1 numeric
@attribute adjOeFGStdDev1 numeric
@attribute adjDeFG1 numeric
@attribute adjDeFGStdDev1 numeric
@attribute adjOTOR1 numeric
@attribute adjOTORStdDev1 numeric
@attribute adjDTOR1 numeric
@attribute adjDTORStdDev1 numeric
@attribute adjOORR1 numeric
@attribute adjOORRStdDev1 numeric
@attribute adjDORR1 numeric
@attribute adjDORRStdDev1 numeric
@attribute adjOFTR1 numeric
@attribute adjOFTRStdDev1 numeric
@attribute adjDFTR1 numeric
@attribute adjDFTRStdDev1 numeric
@attribute OeFG1 numeric
@attribute OeFGStdDev1 numeric
@attribute DeFG1 numeric
@attribute DeFGStdDev1 numeric
@attribute OTOR1 numeric
@attribute OTORStdDev1 numeric
@attribute DTOR1 numeric
@attribute DTORStdDev1 numeric
@attribute OORR1 numeric
@attribute OORRStdDev1 numeric
@attribute DORR1 numeric
@attribute DORRStdDev1 numeric
@attribute OFTR1 numeric
@attribute OFTRStdDev1 numeric
@attribute DFTR1 numeric
@attribute DFTRStdDev1 numeric
@attribute name2 {'Utah Jazz','Los Angeles Lakers','San Antonio Spurs','Dallas Mavericks','Seattle SuperSonics','Washington Wizards','New Jersey Nets','Sacramento Kings','Orlando Magic','Toronto Raptors','Miami Heat','Los Angeles Clippers','Milwaukee Bucks','Philadelphia 76ers','New York Knicks','Minnesota Timberwolves','Portland Trail Blazers','Phoenix Suns','Memphis Grizzlies','New Orleans Hornets','Detroit Pistons','Cleveland Cavaliers','Denver Nuggets','Boston Celtics','Indiana Pacers','Charlotte Bobcats','Houston Rockets','Chicago Bulls','Atlanta Hawks'}
@attribute winPercentage2 numeric
@attribute MOV2 numeric
@attribute MOVStdDev2 numeric
@attribute adjMov2 numeric
@attribute adjMovStdDev2 numeric
@attribute paceAdjustedScoring2 numeric
@attribute paceAdjustedScoringStdDev2 numeric
@attribute adjOEff2 numeric
@attribute adjOEffStdDev2 numeric
@attribute adjDEff2 numeric
@attribute adjDEffStdDev2 numeric
@attribute adjOeFG2 numeric
@attribute adjOeFGStdDev2 numeric
@attribute adjDeFG2 numeric
@attribute adjDeFGStdDev2 numeric
@attribute adjOTOR2 numeric
@attribute adjOTORStdDev2 numeric
@attribute adjDTOR2 numeric
@attribute adjDTORStdDev2 numeric
@attribute adjOORR2 numeric
@attribute adjOORRStdDev2 numeric
@attribute adjDORR2 numeric
@attribute adjDORRStdDev2 numeric
@attribute adjOFTR2 numeric
@attribute adjOFTRStdDev2 numeric
@attribute adjDFTR2 numeric
@attribute adjDFTRStdDev2 numeric
@attribute OeFG2 numeric
@attribute OeFGStdDev2 numeric
@attribute DeFG2 numeric
@attribute DeFGStdDev2 numeric
@attribute OTOR2 numeric
@attribute OTORStdDev2 numeric
@attribute DTOR2 numeric
@attribute DTORStdDev2 numeric
@attribute OORR2 numeric
@attribute OORRStdDev2 numeric
@attribute DORR2 numeric
@attribute DORRStdDev2 numeric
@attribute OFTR2 numeric
@attribute OFTRStdDev2 numeric
@attribute DFTR2 numeric
@attribute DFTRStdDev2 numeric

@data
bla,Oct,30,242,H,L,-21,105.1,'Golden State Warriors',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Utah Jazz',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,30,242,A,W,2,93,'Houston Rockets',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Los Angeles Lakers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,30,242,A,L,-9,91.8,'Portland Trail Blazers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'San Antonio Spurs',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,31,242,H,L,-3,95.8,'Memphis Grizzlies',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'San Antonio Spurs',1,9,6.363961,9.8,6.929646,9.8,6.929646,115.5,81.670833,105.7,74.741187,50.6,35.779603,53.8,38.042345,7.5,5.303301,15.8,11.172287,27.3,19.304015,22.2,15.697771,20.7,14.63711,16.7,11.808683,50.6,35.779603,53.8,38.042345,7.5,5.303301,15.8,11.172287,27.3,19.304015,22.2,15.697771,20.7,14.63711,16.7,11.808683
bla,Oct,31,242,H,L,-18,85.9,'Cleveland Cavaliers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Dallas Mavericks',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,31,242,H,W,17,108,'Denver Nuggets',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Seattle SuperSonics',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,31,242,H,W,9,98.4,'Indiana Pacers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Washington Wizards',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,31,242,A,L,-9,89.3,'Chicago Bulls',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'New Jersey Nets',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,31,242,H,W,14,93.1,'New Orleans Hornets',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Sacramento Kings',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,31,242,A,L,-19,88.1,'Milwaukee Bucks',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Orlando Magic',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,31,242,A,L,-9,90.9,'Philadelphia 76ers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Toronto Raptors',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Nov,1,1,A,W,11,96.4,'Houston Rockets',1,2,1.414214,2.2,1.555635,2.2,1.555635,102.1,72.195602,99.9,70.639967,50,35.355339,43.4,30.688434,17,12.020815,11.1,7.848885,31.6,22.344574,22.9,16.192745,28.4,20.081833,35.5,25.102291,50,35.355339,43.4,30.688434,17,12.020815,11.1,7.848885,31.6,22.344574,22.9,16.192745,28.4,20.081833,35.5,25.102291,'Utah Jazz',1,21,14.849242,20,14.142136,20,14.142136,111.3,78.700985,91.3,64.558849,48.3,34.153258,45.5,32.173359,15.2,10.748023,17.6,12.445079,34.8,24.607316,14.9,10.535891,33.3,23.546656,33.8,23.900209,48.3,34.153258,45.5,32.173359,15.2,10.748023,17.6,12.445079,34.8,24.607316,14.9,10.535891,33.3,23.546656,33.8,23.900209
bla,Nov,1,1,A,W,11,90.3,'Detroit Pistons',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Miami Heat',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Nov,1,1,A,W,7,107,'Phoenix Suns',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Seattle SuperSonics',0,0,0,0,0,-15.7,11.101576,95.4,67.457987,111.1,78.559563,45.3,32.031937,52.2,36.910974,15,10.606602,12.4,8.768124,27.5,19.445436,25.5,18.031223,16.7,11.808683,27.5,19.445436,45.3,32.031937,52.2,36.910974,15,10.606602,12.4,8.768124,27.5,19.445436,25.5,18.031223,16.7,11.808683,27.5,19.445436
bla,Nov,2,2,A,L,-6,100.9,'Golden State Warriors',0,0,0,0,0,-20,14.142136,103.363,73.088678,103.620227,73.270565,48.231419,34.104763,48.245258,34.114549,13.966164,9.875569,13.870065,9.807617,25.553724,18.069212,25.608972,18.108278,23.902209,16.901414,23.945008,16.931677,45.5,32.173359,48.3,34.153258,17.6,12.445079,15.2,10.748023,14.9,10.535891,34.8,24.607316,33.8,23.900209,33.3,23.546656,'Los Angeles Clippers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Nov,2,2,H,W,7,92.3,'Atlanta Hawks',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Dallas Mavericks',1,18,12.727922,21,14.849242,21,14.849242,107.1,75.731136,86.1,60.881894,54.3,38.395898,38.3,27.08219,17.1,12.091526,14.6,10.323759,13.9,9.828784,34,24.041631,24.6,17.394827,19.5,13.788582,54.3,38.395898,38.3,27.08219,17.1,12.091526,14.6,10.323759,13.9,9.828784,34,24.041631,24.6,17.394827,19.5,13.788582
bla,Nov,2,2,H,W,20,97.1,'Boston Celtics',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Washington Wizards',0,0,0,0,0,-8.3,5.868986,101.2,71.559206,109.5,77.428193,39.4,27.860007,48.4,34.223968,13.2,9.33381,13.6,9.616652,35.4,25.03158,29.8,21.071782,32.3,22.839549,32.6,23.051681,39.4,27.860007,48.4,34.223968,13.2,9.33381,13.6,9.616652,35.4,25.03158,29.8,21.071782,32.3,22.839549,32.6,23.051681
bla,Nov,2,2,H,W,3,95,'Charlotte Bobcats',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Milwaukee Bucks',0,0,0,0,0,-21.5,15.202796,94.2,66.609459,115.7,81.812255,40.2,28.425693,52.1,36.840263,12.6,8.909545,10.2,7.212489,35.3,24.960869,23.1,16.334167,14.9,10.535891,35.6,25.173001,40.2,28.425693,52.1,36.840263,12.6,8.909545,10.2,7.212489,35.3,24.960869,23.1,16.334167,14.9,10.535891,35.6,25.173001
bla,Nov,2,2,H,L,-11,94.7,'Chicago Bulls',0,0,0,0,0,-9.1,6.434672,104.5,73.892659,113.6,80.32733,43.8,30.971277,45.7,32.31478,13,9.192388,14.5,10.253048,35.8,25.314423,35,24.748737,19.8,14.000714,45.1,31.890516,43.8,30.971277,45.7,32.31478,13,9.192388,14.5,10.253048,35.8,25.314423,35,24.748737,19.8,14.000714,45.1,31.890516,'Philadelphia 76ers',0,0,0,0,0,-9.9,7.000357,106.8,75.519004,116.7,82.519361,50.6,35.779603,53.5,37.830213,15.6,11.030866,9.8,6.929646,35.7,25.243712,24.4,17.253405,17.1,12.091526,17.6,12.445079,50.6,35.779603,53.5,37.830213,15.6,11.030866,9.8,6.929646,35.7,25.243712,24.4,17.253405,17.1,12.091526,17.6,12.445079
bla,Nov,2,2,H,W,4,91.9,'Cleveland Cavaliers',0,0,0,0,0,-21,14.849242,86.1,60.881894,107.1,75.731136,38.3,27.08219,54.3,38.395898,14.6,10.323759,17.1,12.091526,34,24.041631,13.9,9.828784,19.5,13.788582,24.6,17.394827,38.3,27.08219,54.3,38.395898,14.6,10.323759,17.1,12.091526,34,24.041631,13.9,9.828784,19.5,13.788582,24.6,17.394827,'New York Knicks',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Nov,2,2,H,W,2,94.9,'Indiana Pacers',1,9,6.363961,8.3,5.868986,8.3,5.868986,109.5,77.428193,101.2,71.559206,48.4,34.223968,39.4,27.860007,13.6,9.616652,13.2,9.33381,29.8,21.071782,35.4,25.03158,32.6,23.051681,32.3,22.839549,48.4,34.223968,39.4,27.860007,13.6,9.616652,13.2,9.33381,29.8,21.071782,35.4,25.03158,32.6,23.051681,32.3,22.839549,'Miami Heat',0,0,0,0,0,-12.2,8.626703,88.6,62.649661,100.8,71.276364,47.3,33.446151,42.5,30.052038,17.2,12.162237,9.7,6.858936,13.5,9.545942,25.5,18.031223,12,8.485281,28.8,20.364675,47.3,33.446151,42.5,30.052038,17.2,12.162237,9.7,6.858936,13.5,9.545942,25.5,18.031223,12,8.485281,28.8,20.364675
bla,Nov,2,2,A,W,8,97,'Denver Nuggets',1,17,12.020815,15.7,11.101576,15.7,11.101576,103.596431,73.253739,103.562955,73.230068,48.25507,34.121488,48.277569,34.137396,13.899287,9.82828,13.922956,9.845017,25.672703,18.153343,25.635385,18.126954,23.897926,16.898385,23.87349,16.881107,52.2,36.910974,45.3,32.031937,12.4,8.768124,15,10.606602,25.5,18.031223,27.5,19.445436,27.5,19.445436,16.7,11.808683,'Minnesota Timberwolves',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Nov,2,2,H,L,-37,86.3,'New Jersey Nets',1,9,6.363961,9.1,6.434672,9.1,6.434672,113.6,80.32733,104.5,73.892659,45.7,32.31478,43.8,30.971277,14.5,10.253048,13,9.192388,35,24.748737,35.8,25.314423,45.1,31.890516,19.8,14.000714,45.7,32.31478,43.8,30.971277,14.5,10.253048,13,9.192388,35,24.748737,35.8,25.314423,45.1,31.890516,19.8,14.000714,'Toronto Raptors',1,9,6.363961,9.9,7.000357,9.9,7.000357,116.7,82.519361,106.8,75.519004,53.5,37.830213,50.6,35.779603,9.8,6.929646,15.6,11.030866,24.4,17.253405,35.7,25.243712,17.6,12.445079,17.1,12.091526,53.5,37.830213,50.6,35.779603,9.8,6.929646,15.6,11.030866,24.4,17.253405,35.7,25.243712,17.6,12.445079,17.1,12.091526
bla,Nov,2,2,H,W,20,87.6,'New Orleans Hornets',1,14,9.899495,15.1,10.677312,15.1,10.677312,111.8,79.054538,96.7,68.377226,57.1,40.375797,46.3,32.739044,18.1,12.798633,14.4,10.182338,29.7,21.001071,19.5,13.788582,20.8,14.707821,18.5,13.081475,57.1,40.375797,46.3,32.739044,18.1,12.798633,14.4,10.182338,29.7,21.001071,19.5,13.788582,20.8,14.707821,18.5,13.081475,'Portland Trail Blazers',0,0,0,0,0,-9.8,6.929646,103.697158,73.324963,106.785937,75.509061,48.271429,34.133054,48.271429,34.133054,14.963168,10.580558,13.051339,9.228691,30.904193,21.852564,32.076606,22.681585,22.435795,15.864503,25.24916,17.853852,53.8,38.042345,50.6,35.779603,15.8,11.172287,7.5,5.303301,22.2,15.697771,27.3,19.304015,16.7,11.808683,20.7,14.63711
bla,Nov,2,2,A,W,24,90,'Detroit Pistons',1,11,7.778175,12.2,8.626703,12.2,8.626703,100.8,71.276364,88.6,62.649661,42.5,30.052038,47.3,33.446151,9.7,6.858936,17.2,12.162237,25.5,18.031223,13.5,9.545942,28.8,20.364675,12,8.485281,42.5,30.052038,47.3,33.446151,9.7,6.858936,17.2,12.162237,25.5,18.031223,13.5,9.545942,28.8,20.364675,12,8.485281,'Orlando Magic',1,19,13.435029,21.5,15.202796,21.5,15.202796,115.7,81.812255,94.2,66.609459,52.1,36.840263,40.2,28.425693,10.2,7.212489,12.6,8.909545,23.1,16.334167,35.3,24.960869,35.6,25.173001,14.9,10.535891,52.1,36.840263,40.2,28.425693,10.2,7.212489,12.6,8.909545,23.1,16.334167,35.3,24.960869,35.6,25.173001,14.9,10.535891
bla,Nov,2,2,A,W,21,100.2,'Los Angeles Lakers',0,0,0,0,0,-2.2,1.555635,103.620227,73.270565,103.363,73.088678,48.245258,34.114549,48.231419,34.104763,13.870065,9.807617,13.966164,9.875569,25.608972,18.108278,25.553724,18.069212,23.945008,16.931677,23.902209,16.901414,43.4,30.688434,50,35.355339,11.1,7.848885,17,12.020815,22.9,16.192745,31.6,22.344574,35.5,25.102291,28.4,20.081833,'Phoenix Suns',1,7,4.949747,6.5,4.596194,6.5,4.596194,92.313652,65.275609,100.414815,71.003997,52.230105,36.932261,46.785547,33.082377,19.279656,13.632776,13.551678,9.582483,11.477209,8.115612,20.508308,14.501564,11.384103,8.049776,17.297559,12.231221,56.5,39.951533,43.9,31.041988,17.2,12.162237,14.6,10.323759,11.4,8.061017,22,15.556349,13.1,9.263099,12.1,8.555992
bla,Nov,2,2,A,L,-16,91.9,'Sacramento Kings',0,0,0,0,0,-15.1,10.677312,96.7,68.377226,111.8,79.054538,46.3,32.739044,57.1,40.375797,14.4,10.182338,18.1,12.798633,19.5,13.788582,29.7,21.001071,18.5,13.081475,20.8,14.707821,46.3,32.739044,57.1,40.375797,14.4,10.182338,18.1,12.798633,19.5,13.788582,29.7,21.001071,18.5,13.081475,20.8,14.707821,'San Antonio Spurs',1,6,4.582576,6.45,4.981047,6.45,4.981047,115.5,66.683956,105.7,61.025923,50.6,29.213924,53.8,31.061444,7.5,4.330127,15.8,9.122134,27.3,15.761662,22.2,12.817176,20.7,11.951151,16.7,9.641749,50.6,29.213924,53.8,31.061444,8,4.481443,14.7,8.821753,21.8,14.438259,18.4,11.873219,19.55,11.633393,17.75,9.958706
bla,Nov,3,3,A,L,-23,96,'Golden State Warriors',0,0,0,0,0,-19.885246,11.514022,97.997535,58.189654,101.52734,59.230246,46.488009,27.357035,46.612456,27.395231,14.086978,8.09847,12.762367,7.708045,24.305886,14.406746,25.166129,14.659181,23.16244,13.591428,23.991103,13.837982,45.540984,26.281276,48.333607,27.895724,17.527049,10.140371,15.19918,8.775487,14.961475,8.62032,34.822131,20.098181,33.688525,19.482339,33.32623,19.23334,'Utah Jazz',0.5,20.91358,12.099486,19.917695,11.52332,19.870782,11.509885,106.980097,63.049045,90.967776,52.616437,47.472476,27.650228,44.8164,26.074339,15.487054,8.859752,16.129705,9.76464,34.413044,19.981021,15.205866,8.69216,29.330434,18.188466,30.703969,18.684928,48.29177,27.883642,45.526337,26.277044,15.209877,8.778577,17.581481,10.156023,34.788066,20.088345,14.936214,8.612992,33.264609,19.215556,33.779424,19.508502
bla,Nov,3,3,H,W,21,86.4,'Dallas Mavericks',0.5,17.852459,10.349976,20.827869,12.074972,20.765574,12.057252,106.999476,61.805215,86.390072,49.793806,54.166584,31.311677,38.437611,22.152347,17.003889,9.845062,14.584038,8.42471,13.964775,8.043933,33.88025,19.595432,24.583777,14.198136,19.619225,11.292905,54.234426,31.331207,38.380328,22.13574,17.040984,9.855697,14.594262,8.427658,13.913934,8.029194,33.97623,19.623051,24.603279,14.203763,19.59918,11.28707,'Sacramento Kings',0,0,0,0,0,-15.118852,8.723436,93.994316,55.065328,105.406483,62.783548,44.363845,26.190295,52.545289,31.733691,14.382195,8.308709,18.419472,10.543474,18.724622,11.041306,28.810911,16.896494,23.084414,12.221272,23.228382,12.767764,46.248361,26.716423,57.036066,32.94826,14.395902,8.312661,18.1,10.45004,19.44918,11.243689,29.681967,17.1421,18.567213,10.700436,20.869672,12.029049
