@relation gamesAdvancedStats-StdDevs

@attribute DoW {bla}
@attribute month {Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun}
@attribute day numeric
@attribute dayOfSeason numeric
@attribute locationForFirst {H,A}
@attribute outcomeForFirst {L,W}
@attribute pointDifferenceForFirst numeric
@attribute Pace numeric
@attribute name1 {'Boston Celtics','Dallas Mavericks','Los Angeles Clippers','Houston Rockets','Atlanta Hawks','Denver Nuggets','Golden State Warriors','Detroit Pistons','Miami Heat','Minnesota Timberwolves','Oklahoma City Thunder','Orlando Magic','New Orleans Hornets','Cleveland Cavaliers','Chicago Bulls','Charlotte Bobcats','Indiana Pacers','Memphis Grizzlies','New Jersey Nets','Milwaukee Bucks','New York Knicks','Sacramento Kings','Los Angeles Lakers','San Antonio Spurs','Portland Trail Blazers','Phoenix Suns','Philadelphia 76ers','Toronto Raptors','Utah Jazz'}
@attribute winPercentage1 numeric
@attribute MOV1 numeric
@attribute MOVStdDev1 numeric
@attribute adjMov1 numeric
@attribute adjMovStdDev1 numeric
@attribute paceAdjustedScoring1 numeric
@attribute paceAdjustedScoringStdDev1 numeric
@attribute adjOEff1 numeric
@attribute adjOEffStdDev1 numeric
@attribute adjDEff1 numeric
@attribute adjDEffStdDev1 numeric
@attribute adjOeFG1 numeric
@attribute adjOeFGStdDev1 numeric
@attribute adjDeFG1 numeric
@attribute adjDeFGStdDev1 numeric
@attribute adjOTOR1 numeric
@attribute adjOTORStdDev1 numeric
@attribute adjDTOR1 numeric
@attribute adjDTORStdDev1 numeric
@attribute adjOORR1 numeric
@attribute adjOORRStdDev1 numeric
@attribute adjDORR1 numeric
@attribute adjDORRStdDev1 numeric
@attribute adjOFTR1 numeric
@attribute adjOFTRStdDev1 numeric
@attribute adjDFTR1 numeric
@attribute adjDFTRStdDev1 numeric
@attribute OeFG1 numeric
@attribute OeFGStdDev1 numeric
@attribute DeFG1 numeric
@attribute DeFGStdDev1 numeric
@attribute OTOR1 numeric
@attribute OTORStdDev1 numeric
@attribute DTOR1 numeric
@attribute DTORStdDev1 numeric
@attribute OORR1 numeric
@attribute OORRStdDev1 numeric
@attribute DORR1 numeric
@attribute DORRStdDev1 numeric
@attribute OFTR1 numeric
@attribute OFTRStdDev1 numeric
@attribute DFTR1 numeric
@attribute DFTRStdDev1 numeric
@attribute name2 {'Cleveland Cavaliers','Washington Wizards','Los Angeles Lakers','Portland Trail Blazers','Charlotte Bobcats','Indiana Pacers','Utah Jazz','Houston Rockets','Phoenix Suns','Memphis Grizzlies','New York Knicks','New Jersey Nets','Sacramento Kings','Philadelphia 76ers','San Antonio Spurs','Toronto Raptors','Chicago Bulls','Oklahoma City Thunder','Miami Heat','Minnesota Timberwolves','Orlando Magic','Los Angeles Clippers','Milwaukee Bucks','New Orleans Hornets','Denver Nuggets','Detroit Pistons','Atlanta Hawks','Golden State Warriors','Dallas Mavericks'}
@attribute winPercentage2 numeric
@attribute MOV2 numeric
@attribute MOVStdDev2 numeric
@attribute adjMov2 numeric
@attribute adjMovStdDev2 numeric
@attribute paceAdjustedScoring2 numeric
@attribute paceAdjustedScoringStdDev2 numeric
@attribute adjOEff2 numeric
@attribute adjOEffStdDev2 numeric
@attribute adjDEff2 numeric
@attribute adjDEffStdDev2 numeric
@attribute adjOeFG2 numeric
@attribute adjOeFGStdDev2 numeric
@attribute adjDeFG2 numeric
@attribute adjDeFGStdDev2 numeric
@attribute adjOTOR2 numeric
@attribute adjOTORStdDev2 numeric
@attribute adjDTOR2 numeric
@attribute adjDTORStdDev2 numeric
@attribute adjOORR2 numeric
@attribute adjOORRStdDev2 numeric
@attribute adjDORR2 numeric
@attribute adjDORRStdDev2 numeric
@attribute adjOFTR2 numeric
@attribute adjOFTRStdDev2 numeric
@attribute adjDFTR2 numeric
@attribute adjDFTRStdDev2 numeric
@attribute OeFG2 numeric
@attribute OeFGStdDev2 numeric
@attribute DeFG2 numeric
@attribute DeFGStdDev2 numeric
@attribute OTOR2 numeric
@attribute OTORStdDev2 numeric
@attribute DTOR2 numeric
@attribute DTORStdDev2 numeric
@attribute OORR2 numeric
@attribute OORRStdDev2 numeric
@attribute DORR2 numeric
@attribute DORRStdDev2 numeric
@attribute OFTR2 numeric
@attribute OFTRStdDev2 numeric
@attribute DFTR2 numeric
@attribute DFTRStdDev2 numeric

@data
bla,Oct,27,242,A,W,6,88.6,'Boston Celtics',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Cleveland Cavaliers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,27,242,H,L,-11,89.5,'Dallas Mavericks',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Washington Wizards',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,27,242,A,L,-7,97.5,'Los Angeles Clippers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Los Angeles Lakers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,27,242,A,L,-9,96.6,'Houston Rockets',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Portland Trail Blazers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,28,242,H,W,33,85.4,'Boston Celtics',1,6,4.242641,6.8,4.808326,6.8,4.808326,107.2,75.801847,100.4,70.993521,50.7,35.850314,45.7,32.31478,14.4,10.182338,13.4,9.475231,18.8,13.293607,15.8,11.172287,30.6,21.637468,35.7,25.243712,50.7,35.850314,45.7,32.31478,14.4,10.182338,13.4,9.475231,18.8,13.293607,15.8,11.172287,30.6,21.637468,35.7,25.243712,'Charlotte Bobcats',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,28,242,H,W,11,100.8,'Atlanta Hawks',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Indiana Pacers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,28,242,H,W,9,96.6,'Denver Nuggets',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Utah Jazz',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,28,242,H,L,-1,97.7,'Golden State Warriors',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Houston Rockets',0,0,0,0,0,-9.3,6.576093,90.1,63.710321,99.4,70.286414,40.1,28.354982,49.4,34.931075,14.6,10.323759,23.1,16.334167,20.4,14.424978,34.3,24.253763,27.2,19.233304,26,18.384776,40.1,28.354982,49.4,34.931075,14.6,10.323759,23.1,16.334167,20.4,14.424978,34.3,24.253763,27.2,19.233304,26,18.384776
bla,Oct,28,242,H,L,-2,94.5,'Los Angeles Clippers',0,0,0,0,0,-7.2,5.091169,94.4,66.75088,101.6,71.842049,46.6,32.951176,43.5,30.759145,17.5,12.374369,13.6,9.616652,33.3,23.546656,32.1,22.698128,12.6,8.909545,29.4,20.788939,46.6,32.951176,43.5,30.759145,17.5,12.374369,13.6,9.616652,33.3,23.546656,32.1,22.698128,12.6,8.909545,29.4,20.788939,'Phoenix Suns',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,28,242,A,W,22,81.9,'Detroit Pistons',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Memphis Grizzlies',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
