@relation gamesAdvancedStats-StdDevs

@attribute DoW {bla}
@attribute month {Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun}
@attribute day numeric
@attribute dayOfSeason numeric
@attribute locationForFirst {H,A}
@attribute outcomeForFirst {L,W}
@attribute pointDifferenceForFirst numeric
@attribute Pace numeric
@attribute name1 {'Indiana Pacers','Los Angeles Clippers','Chicago Bulls','Brooklyn Nets','Atlanta Hawks','Detroit Pistons','Golden State Warriors','Charlotte Bobcats','Minnesota Timberwolves','Milwaukee Bucks','Miami Heat','Phoenix Suns','Denver Nuggets','Memphis Grizzlies','Boston Celtics','Oklahoma City Thunder','New Orleans Pelicans','Dallas Mavericks','Los Angeles Lakers','Philadelphia 76ers','Portland Trail Blazers','Houston Rockets','Cleveland Cavaliers','Toronto Raptors','New York Knicks','San Antonio Spurs','Orlando Magic','Sacramento Kings','Utah Jazz'}
@attribute winPercentage1 numeric
@attribute MOV1 numeric
@attribute MOVStdDev1 numeric
@attribute adjMov1 numeric
@attribute adjMovStdDev1 numeric
@attribute paceAdjustedScoring1 numeric
@attribute paceAdjustedScoringStdDev1 numeric
@attribute adjOEff1 numeric
@attribute adjOEffStdDev1 numeric
@attribute adjDEff1 numeric
@attribute adjDEffStdDev1 numeric
@attribute adjOeFG1 numeric
@attribute adjOeFGStdDev1 numeric
@attribute adjDeFG1 numeric
@attribute adjDeFGStdDev1 numeric
@attribute adjOTOR1 numeric
@attribute adjOTORStdDev1 numeric
@attribute adjDTOR1 numeric
@attribute adjDTORStdDev1 numeric
@attribute adjOORR1 numeric
@attribute adjOORRStdDev1 numeric
@attribute adjDORR1 numeric
@attribute adjDORRStdDev1 numeric
@attribute adjOFTR1 numeric
@attribute adjOFTRStdDev1 numeric
@attribute adjDFTR1 numeric
@attribute adjDFTRStdDev1 numeric
@attribute OeFG1 numeric
@attribute OeFGStdDev1 numeric
@attribute DeFG1 numeric
@attribute DeFGStdDev1 numeric
@attribute OTOR1 numeric
@attribute OTORStdDev1 numeric
@attribute DTOR1 numeric
@attribute DTORStdDev1 numeric
@attribute OORR1 numeric
@attribute OORRStdDev1 numeric
@attribute DORR1 numeric
@attribute DORRStdDev1 numeric
@attribute OFTR1 numeric
@attribute OFTRStdDev1 numeric
@attribute DFTR1 numeric
@attribute DFTRStdDev1 numeric
@attribute name2 {'Orlando Magic','Los Angeles Lakers','Miami Heat','New Orleans Pelicans','Cleveland Cavaliers','Dallas Mavericks','Washington Wizards','Houston Rockets','New York Knicks','Philadelphia 76ers','Portland Trail Blazers','Sacramento Kings','San Antonio Spurs','Toronto Raptors','Utah Jazz','Golden State Warriors','Milwaukee Bucks','Memphis Grizzlies','Oklahoma City Thunder','Detroit Pistons','Phoenix Suns','Minnesota Timberwolves','Chicago Bulls','Denver Nuggets','Brooklyn Nets','Los Angeles Clippers','Charlotte Bobcats','Boston Celtics','Atlanta Hawks'}
@attribute winPercentage2 numeric
@attribute MOV2 numeric
@attribute MOVStdDev2 numeric
@attribute adjMov2 numeric
@attribute adjMovStdDev2 numeric
@attribute paceAdjustedScoring2 numeric
@attribute paceAdjustedScoringStdDev2 numeric
@attribute adjOEff2 numeric
@attribute adjOEffStdDev2 numeric
@attribute adjDEff2 numeric
@attribute adjDEffStdDev2 numeric
@attribute adjOeFG2 numeric
@attribute adjOeFGStdDev2 numeric
@attribute adjDeFG2 numeric
@attribute adjDeFGStdDev2 numeric
@attribute adjOTOR2 numeric
@attribute adjOTORStdDev2 numeric
@attribute adjDTOR2 numeric
@attribute adjDTORStdDev2 numeric
@attribute adjOORR2 numeric
@attribute adjOORRStdDev2 numeric
@attribute adjDORR2 numeric
@attribute adjDORRStdDev2 numeric
@attribute adjOFTR2 numeric
@attribute adjOFTRStdDev2 numeric
@attribute adjDFTR2 numeric
@attribute adjDFTRStdDev2 numeric
@attribute OeFG2 numeric
@attribute OeFGStdDev2 numeric
@attribute DeFG2 numeric
@attribute DeFGStdDev2 numeric
@attribute OTOR2 numeric
@attribute OTORStdDev2 numeric
@attribute DTOR2 numeric
@attribute DTORStdDev2 numeric
@attribute OORR2 numeric
@attribute OORRStdDev2 numeric
@attribute DORR2 numeric
@attribute DORRStdDev2 numeric
@attribute OFTR2 numeric
@attribute OFTRStdDev2 numeric
@attribute DFTR2 numeric
@attribute DFTRStdDev2 numeric

@data
bla,Oct,29,242,H,W,10,95,'Indiana Pacers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Orlando Magic',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,29,242,A,L,-13,100.4,'Los Angeles Clippers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Los Angeles Lakers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,29,242,A,L,-12,97.1,'Chicago Bulls',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Miami Heat',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,30,242,A,W,5,90.5,'Indiana Pacers',1,10,7.071068,10.5,7.424621,10.5,7.424621,102.1,72.195602,91.6,64.770981,52.8,37.335238,43.5,30.759145,19,13.435029,14.9,10.535891,27.8,19.657569,27.7,19.586858,31,21.92031,6.5,4.596194,52.8,37.335238,43.5,30.759145,19,13.435029,14.9,10.535891,27.8,19.657569,27.7,19.586858,31,21.92031,6.5,4.596194,'New Orleans Pelicans',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,30,242,A,L,-4,92.3,'Brooklyn Nets',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Cleveland Cavaliers',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,30,242,A,L,-9,100.7,'Atlanta Hawks',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Dallas Mavericks',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,30,242,H,W,11,94.4,'Detroit Pistons',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Washington Wizards',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,30,242,H,W,31,102.6,'Golden State Warriors',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Los Angeles Lakers',1,13,9.192388,13,9.192388,13,9.192388,115.6,81.741544,102.6,72.549156,52.7,37.264527,54.2,38.325188,15.3,10.818734,14.7,10.39447,37.5,26.516504,22.7,16.051324,19.4,13.717872,15.7,11.101576,52.7,37.264527,54.2,38.325188,15.3,10.818734,14.7,10.39447,37.5,26.516504,22.7,16.051324,19.4,13.717872,15.7,11.101576
bla,Oct,30,242,A,L,-13,89.6,'Charlotte Bobcats',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Houston Rockets',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,Oct,30,242,H,W,5,99.9,'Minnesota Timberwolves',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Orlando Magic',0,0,0,0,0,-10.5,7.424621,91.6,64.770981,102.1,72.195602,43.5,30.759145,52.8,37.335238,14.9,10.535891,19,13.435029,27.7,19.586858,27.8,19.657569,6.5,4.596194,31,21.92031,43.5,30.759145,52.8,37.335238,14.9,10.535891,19,13.435029,27.7,19.586858,27.8,19.657569,6.5,4.596194,31,21.92031
