,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2008,68.921 ,68.8973,68.5213,66.7429,64.8045,64.688 ,62.699 ,65.6751,65.8055,62.2324
2009,66.5653,69.2015,66.9207,66.7429,64.0596,64.7641,63.533 ,65.9802,66.5653,62.3853
2010,68.997 ,68.6692,67.3018,64.836 ,63.5009,64.6119,62.2441,65.1411,66.8693,62.9969
2011,67.5532,69.0494,67.378 ,66.1327,65.9218,64.3836,63.0023,65.5225,66.1854,62.5382
2012,67.9331,67.7567,65.1677,65.4462,64.432 ,64.5358,61.1069,64.6072,66.2614,62.0795
2013,66.7173,67.2243,66.0061,65.2937,64.1527,65.3729,61.7892,64.9123,67.2492,62.4618
2014,69.1489,68.8213,67.6067,66.4378,64.432 ,65.2207,64.2911,65.5988,67.5532,64.2202
2015,68.845 ,68.8213,68.5213,65.8276,64.8045,66.21  ,63.1539,65.7513,67.9331,63.0734
2016,69.8328,68.365 ,68.2927,65.8276,65.27  ,65.6012,63.9879,66.209 ,67.7052,62.7676
2017,68.0091,66.9202,65.0152,65.5988,64.2458,63.9269,61.3343,63.3105,65.9574,62.0795
